,fecha,titulo,descripcion
97,27 de abril de 2018 17:00,Policía desarticula banda que robó $ 250.000 de banco en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
98,26 de abril de 2018 13:28,Ladrones exigían hasta $ 300 por motos y $ 3.000 por carros robados,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
99,19 de marzo de 2018 12:20,Estatua de Alberto Spencer no fue robada; está en mantenimiento,"Varios ciudadanos del centro de Guayaquil, específicamente de las calles Luzurraga y Panamá, reportaron esta mañana la ""desaparición"" de la estatua en honor del goleador ecuatoriano Alberto Spencer."
100,11 de marzo de 2018 13:33,Encuentran a dos niños que estaban en un taxi cuando fue hurtado en Ecuador,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
101,19 de febrero de 2018 10:30,Operativo 'Impacto 68' deja 4 detenidos por robo y microtráfico,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
102,04 de febrero de 2018 16:04,Policía recupera otras 11 computadoras de las robadas en una unidad educativa,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
103,01 de febrero de 2018 12:23,'Operativo 44' desarticuló a banda dedicada al robo en buses,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
104,30 de enero de 2018 15:11,Cae banda de delincuentes que operaban en Cotopaxi y Pichincha,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
105,05 de enero de 2018 11:55,"Hallan la botella de vodka ""más cara del mundo"", pero vacía","La botella, de la marca Russo-Baltique, estaba valorada en $ 1,3 millones antes del robo."
106,22 de diciembre de 2017 13:41,'Mega Fortaleza 6' detuvo a 14 personas en varias provincias,"La acción antidelictiva se realizó de forma simultánea en las provincias de Pichincha, Esmeraldas, Tungurahua, El Oro y Los Ríos."
107,27 de noviembre de 2017 18:11,Lancha recuperada fue entregada a su dueña,"Carmen Santana, de Puerto López, sintió alegría al ver nuevamente su lancha que fue recuperada, tras haber sido sustraída hace 15 días. Ella recibió, a través de autoridades marítimas, la embarcación la tarde de este lunes 27 de noviembre, en los predios de la Capitanía del Puerto de Manta, acompañada de varios familiares."
108,16 de agosto de 2017 13:15,'Fortaleza 44' desarticuló presunta banda que robaba en entidades financieras,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
109,19 de julio de 2017 20:55,Policía detuvo a dos personas por presunto robo en la Metrovía,"Dos presuntos implicados en cometer robos mediante el sistema de descuideros  fueron arrestados por personal del Grupo de Operaciones Motorizadas (GOM), del Circuito La Atarazana de la Policía, en el interior de la parada de la Metrovía, de la Av. Pedro Menéndez Gilbert y Plaza Dañín."
110,25 de mayo de 2017 18:16,Dos extranjeros detenidos por intento de robo en el centro de Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
111,24 de mayo de 2017 16:50,Tres extranjeros detenidos por estruche de vivienda en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
112,04 de mayo de 2017 16:21,Robo de combustible detona enfrentamientos que dejan 10 muertos en México,"

El veneno de una serpiente impide la multiplicación del virus Sars-Cov-2

Investigadores de la Universidad Estatal Paulista de Brasil realizaron el estudio con una especie ve..."
113,26 de abril de 2017 17:40,Policía recupera embarcaciones y motores fuera de borda robados en camaronera,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
114,25 de abril de 2017 19:00,Cuatro detenidos por robo de armas en camaronera de Durán,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
115,21 de abril de 2017 16:25,Tres detenidos por asalto a locales comerciales en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
116,04 de abril de 2017 16:08,La Policía desarticuló en Milagro una banda dedicada a robar en unidades educativas,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
117,19 de enero de 2017 16:12,Presunto ladrón de láminas de oro en Manhattan fue aprehendido en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
118,18 de enero de 2017 09:01,Las joyas robadas a Kim Kardashian en París fueron fundidas y retalladas,"

MAAC abordará conversatorio virtual sobre procesos de arte fuera de la institucionalidad

Los ponentes será de países como Ecuador, Chile, Suiza, España y Brasil."
