,fecha,titulo,descripcion
123,"septiembre 28, 2020",'Graciositos' los asesinos,"En el oro, pillos se rieron después de darle dos tiros. Grupo armado ingresó a una hacienda, amarró a más de 30 personas y las asaltó."
124,"septiembre 27, 2020",¡Quince segundos bastaron para 'pelarlos'!,Empleados de una empresa de Guayaquil fueron asaltados mientras aguardaban para ingresar.
125,"septiembre 26, 2020","El extenista Luis Morejón, también habría sido víctima de los venezolanos que asaltaron al 'vice' de Barcelona",La Policía le seguía los pasos a los 'chamos'. Las pertenencias del tenista ya habían sido comercializadas. Los dos extranjeros recibieron prisión.
126,"septiembre 25, 2020",Vicepresidente de Barcelona le 'pateó' la cabeza a un delincuente,"Aquiles Álvarez sufrió un asalto este viernes 25 de septiembre, pero minutos después capturaron al presunto malhechor."
127,"septiembre 22, 2020",Asalto a periodistas en Quito: ¡un cachazo y chao cámara!,Horas después del asalto la Policía encontró a los sospechosos y recuperó los equipos robados.
128,"septiembre 22, 2020",¡Asaltan a equipo periodístico!,Santiago Naranjo realizaba un reporte sobre inseguridad de las calles en el centro de Quito y fue interceptado por dos sujetos armados.
129,"septiembre 17, 2020",Capturó a sospechosa de contratarlo para flete que resultó ser un intento de asalto,"En medio trayecto, tres tipos intentaron asaltar al camionero, pero este logró huir y llevar ante la Policía a la mujer que lo había engañado"
130,"septiembre 12, 2020",Buscan quienes se 'volaron' 13 'lucas' de joyería,Un funcionario de la Fiscalía junto con la Policía verificaba si había grabaciones de las cámaras de vigilancia en la zona donde fue el asalto
131,"septiembre 11, 2020",Le aplicaron llave de lucha libre para quitarle el celular,"La víctima caminaba por las calles Gallegos Lara y Gómez Rendón, en el suroeste de Guayaquil, cuando fue atacado por dos sujetos"
132,"septiembre 11, 2020",'Pillo' alquilaba un carro para delinquir,Un ciudadano rentó un vehículo que luego utilizó para huir tras cometer un asalto en Guayaquil
133,"septiembre 11, 2020",Choros huyeron al ver que tenían compañía,"Dos pillos entraron a robar en una vivienda en Carcelén, creyendo que no había nadie. Al verse descubiertos por dos mujeres las amedrentaron y fugaron"
134,"septiembre 08, 2020",Se les robaron los 'huevos al águila': Pillos se llevaron 30 armas de compañía de seguridad,"Los delincuentes usaban mascarillas, capuchas y gorras. Llegaron en auto y para ingresar escalaron la pared de la casa de al lado."
135,"septiembre 06, 2020",¡Expuestos al frío y a los pillos!,Una mujer cuyo esposo está internado en el Hospital Enrique Garcés fue asaltada por dos sujetos en moto. Vecinos los han visto por el barrio.
136,"agosto 27, 2020",Taxista fue asaltado con un 'juguito' raro,"El hecho ocurrió el domingo, pero el conductor aún siente los estragos de ingerir aquella bebida que tenía alguna sustancia"
137,"agosto 27, 2020","No le robó, pero se lo 'ganó' de un piedrazo en la cara","Por intentar un asalto, un pillo le lanzó una piedra a su víctima y también la intimidó con un arma cortopunzante. Ocurrió en el centro de Guayaquil"
138,"agosto 26, 2020",Robo a personas: hay tantas modalidades que 'marean' hasta a la Policía,"Según la Policía, no se puede mantener un registro de la forma en la que se realiza cada uno de los atracos. Existen recomendaciones generales"
139,"agosto 25, 2020","“Yo haría todo por él”, dice la madre de bebé con severa infección en su cabeza",La familia llegó a Quito desde El Coca en busca de atención para el bebé. Fue víctima del robo de todos sus ahorros. Ahora no tienen ni para pañales
140,"agosto 24, 2020",Cayó una banda de malandros que operaba en el sector de Catequilla,Eran los 'ojos de águila' para robar a turistas y deportistas que frecuentan la zona de La Mitad del Mundo
141,"agosto 24, 2020",Delincuentes les arruinaron el festejo y la 'chupa',"Un grupo de amigos bebía en el suroeste de Guayaquil, cuando fueron sorprendidos por tres pillos armados. Se le llevaron los celulares y una lapto."
142,"agosto 16, 2020",¡Lo ‘empelotaron’ por ‘manilarga’!,se habría sustraído el celular de un vendedor de la bahía de Guayaquil. Lo desnudaron. Aseguran que fue una lección para que no vuelva a robar.
143,"agosto 15, 2020",¡El viaje acabó a ‘plomo’!,"El destino de la víctima era Montañita. Allí debía dejar mercadería, pero fue interceptado por individuos, quienes al parecer iban en una camioneta."
144,"agosto 14, 2020",Fue asaltado y baleado por dos malandros en el centro de Quito,"La Policía llegó al sitió luego del asalto y verificó el fallecimiento del propietario, un orfebre de 65 años"
145,"agosto 14, 2020","Dejaron 'botada' a mujer, presunta cómplice de robo de una tricimoto","El asalto ocurrió ayer, en la cooperativa Ficoa de Montalvo, en el norte de Guayaquil. El vehículo fue recuperado, pero con un revólver dentro"
146,"agosto 13, 2020",30 días de 'cana' para sospechosos de asalto a bus,"El delito se cometió la mañana del pasado martes, en la Isla Trinitaria, al sur de Guayaquil. Se detuvo a cuatro personas implicadas"
147,"agosto 11, 2020",Asaltaron un bus con tres 'matachanchos' y un revólver,"El atraco se cometió en un micro de la línea 110, al sur de Guayaquil. Cuatro implicados fueron detenidos por la Policía."
148,"agosto 09, 2020",¡Adiós al marido y al terrenito!,"En Quito, los pillos asesinaron al padre de familia por robarle 10 ‘lucas’. Con el dinero iban a comprar una propiedad."
